Transaction_ID,Date,Time,Customer_Name,Customer_ID,Product_Name,Product_ID,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Store_Location,Salesperson_Name,Discount_Applied,
82bcccbf-ac7f-43ab-86a6-916d8ca1bbed,18-10-2024,16:59:08,Jared Lopez,4c478f00-f6c8-4ce3-8250-d32159ae3681,One,7d400d5b-b21b-4e98-89a4-984184aa22f3,Sports,1,383.31,383.31,Cash,Montesmouth,Paul Rodriguez DVM,41.52,
02a30ed1-9f4c-4158-9761-29bbd793df90,01-05-2024,20:50:55,Rachel Gomez,d53f8a6b-5d2e-45ee-bb91-ba4921ad4b55,Doctor,effce37a-e156-43d9-a822-1386ddeb08df,Sports,4,224.71,898.84,Mobile Payment,Port Curtisland,Manuel Young,13.16,
9542e26d-991a-4d73-8b57-8d9ada59d190,23-05-2024,18:59:44,Erin Olsen,b2dd0dd3-f244-4107-baac-843335ce2a12,Individual,f0d17350-6700-4ef4-abd5-5368368cd421,Electronics,7,27.15,190.05,Debit Card,North Theresa,Erika Medina,34.43,
039796d1-6dc0-4d3f-a538-123ed688052f,16-09-2024,17:10:59,Corey Morgan,1049dfdc-8c9d-46e9-b143-601be331cd43,Majority,93bd1e30-60d9-4240-8b48-53b8ac59b085,Apparel,1,405.46,405.46,Cash,North David,Joshua Morris,48.79,
caacfe44-51e3-4787-aa08-3ed5bb00a18f,26-10-2024,01:03:44,Stacy Lyons,e08a7d72-5f0d-4ef9-8e82-ffbd8c1f4069,Interesting,268a1019-2183-407f-a742-149096054e5b,Home Goods,7,282.26,1975.82,Cash,Lake Bonniemouth,Courtney Dixon,28.95,
58be4f5f-ee8f-47bb-96c4-26a47d15f819,14-11-2024,11:18:08,Erica Camacho,ee1c09ed-9b76-4e15-856b-2eceb6090d4d,See,54c97abf-cf49-458f-98bc-5a6a07a57255,Sports,4,240.38,961.52,Debit Card,Suzannemouth,Sharon Robinson,25.24,
09445700-cf4a-4fd1-9e84-1bc3326e774f,14-11-2024,15:52:12,Andrew Burns,b1b65342-b346-4874-b08f-3f5982500985,Especially,97fac137-dfc2-4463-a7fb-85acc801b624,Sports,4,381.86,1527.44,Debit Card,New Matthewhaven,Lisa Mitchell,42.81,
7a02ae58-47f3-46b6-8245-42b59b7e7f4b,22-11-2023,08:16:41,William Davis,7380bbd7-631f-4797-ac22-cc4570a706e7,Close,3ef44ae8-33d7-4947-8034-91e07a945f2c,Electronics,2,206.6,413.2,Cash,Kennethchester,Sean Palmer,7.37,
fed23d06-52c0-4291-a244-625c83c266aa,14-05-2024,01:00:02,Mrs. Melinda Galvan,f2b45f9b-317a-4a2a-93e0-c6e5ce2eb9ca,Without,f7256343-143d-412f-b94c-6ac6210e1b58,Home Goods,5,296.49,1482.45,Credit Card,Castilloburgh,Brittney Brown,4.26,
8d758947-c2a2-4053-bc61-69c729d32023,12-10-2024,05:12:05,Carla Anderson,b82149fc-5104-4062-a3ea-0de28944c3ee,Go,0ba2c6e4-6c8e-4aab-b27f-c78fc4457520,Home Goods,3,313.97,941.91,Debit Card,Whitemouth,Jim Ramirez,10.47,
25721ae8-e970-40a9-8052-fc02126d5b04,23-06-2024,23:57:12,John Stevens,d1aef954-7782-4566-997d-9a7caeba51c3,Final,14b26e4e-6dfc-4b83-a4d6-083564928995,Electronics,9,165.43,1488.87,Credit Card,Cortezfort,Eric Smith,9.45,
bd28431a-9ae4-427d-8318-c09f9ef26470,23-11-2023,10:45:01,Kenneth Vang,d8ad96aa-d3c7-40c1-8069-06656c171931,Trade,edbc727d-5fd4-41a2-8097-b7ef1f42d26c,Sports,4,120.88,483.52,Credit Card,Ronaldfort,Joseph Pollard,20.06,
d1ef8836-0011-4a3b-a9ff-30bdeec909c5,07-04-2024,09:17:16,Rebecca Sanchez,8211fbe7-0bc3-496d-84c2-bf8110b576e3,Suddenly,cf4cfa85-c3c7-4a34-bc12-2802644de763,Home Goods,9,328.18,2953.62,Credit Card,Port Jayberg,Tiffany Martin,29.22,
0085da6a-6e08-4ec6-b930-adc969a59539,03-12-2023,03:07:37,Nicholas Stevens,089aba8f-a320-48b4-9127-645740eaee86,Discover,51f44777-264e-4301-9d91-4730fa20ad9e,Electronics,8,236.92,1895.36,Cash,New Garrett,Christine Trevino,6.87,
aed1b314-8f34-4b0a-8c0a-7561576c3618,12-09-2024,07:54:39,Michael Hall,0657fa94-7580-4945-a85e-ac3184365841,Collection,c894cda8-61ad-49b3-b5bf-2b8420425f81,Apparel,8,476.81,3814.48,Credit Card,Johnsonville,Tony Wagner,28.05,
35430ee3-e351-4a9e-99cd-9f5e16d9f6d9,03-08-2024,17:35:19,Sara Barnes,11f66a84-474f-4f12-a8e9-c836068f8ba5,Apply,ad2041f8-c8fe-4c51-8ff4-478d26eed88d,Books,4,407.07,1628.28,Cash,West Laura,Darlene Webb,11.36,
454eef7d-8831-48e5-bf6e-67028e15734c,26-06-2024,10:10:28,Paula Bond,eb0f3346-8fb8-4467-93be-59f1e26eaa49,Congress,81429d92-0d8d-48f3-a8ea-6a758f48fac3,Apparel,9,178.5,1606.5,Cash,East Michaelport,Veronica White,37.56,
b5b427b9-aee9-427d-8d3f-bb64707db72a,02-06-2024,11:29:00,Jennifer Lamb,4381751e-4dc1-4523-aed3-ce0a72af01f4,Sort,68770560-92af-4e84-9e0d-35a22dbb6e09,Apparel,3,280.65,841.95,Credit Card,North Elizabeth,Teresa Davenport,22.16,
7dc7384c-4e0d-4f7d-8975-ac5221bde533,11-09-2024,22:37:41,Dakota Johnson,039b9419-dc73-4c1a-bf86-b4592eeab6ab,Bad,82c9a2f9-4e84-44ce-9ca4-3468bf5c51cf,Electronics,4,187.26,749.04,Debit Card,Willieshire,Sarah Garcia,15.55,
0765b6f6-39d8-4628-8c4c-ad078a3b2027,25-03-2024,18:20:20,Lauren Warren,0d41fcdb-e069-4a54-827a-539359789a86,Above,138c493a-5aa8-4432-87e3-43520e4f6a03,Apparel,10,243.77,2437.7,Mobile Payment,Hicksville,Shawn Foster DDS,0.58,
